dataset,question_type,count,videos,direct_accuracy,bbox_accuracy,delta,paired_delta_ci_low,paired_delta_ci_high,direct_micro_accuracy,bbox_micro_accuracy
heico,instances,487,10,0.46190969813378613,0.5439299325769579,0.08202023444317175,0.03047519621256834,0.13585328453964038,0.4455852156057495,0.5174537987679672
heico,classes,314,10,0.7281718281718281,0.7389510489510489,0.010779220779220777,-0.016703671328671302,0.038297077922077954,0.7643312101910829,0.7834394904458599
heico,target:Sponge,71,8,0.9402777777777778,0.9272727272727272,-0.01300505050505052,-0.09772727272727275,0.06944444444444445,0.9436619718309859,0.9154929577464789
heico,target:Clip,396,9,0.3076618004600638,0.26746903104663644,-0.040192769413427365,-0.16917636295075902,0.12951739618406288,0.30808080808080807,0.24494949494949494
heico,target:External Drain,45,8,0.85,0.99375,0.14375000000000004,0.01874999999999999,0.3104166666666667,0.8444444444444444,0.9777777777777777
heico,target:Needle,9,4,0.75,0.95,0.19999999999999996,-0.14999999999999997,0.75,0.8888888888888888,0.8888888888888888
heico,target:Specimen Bag,3,1,1.0,0.6666666666666666,-0.33333333333333337,-0.33333333333333337,-0.33333333333333337,1.0,0.6666666666666666
heico,target:Specimen,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0
lapchole,instances,343,28,0.34529576399324297,0.329825922210376,-0.015469841782866978,-0.07318786649275094,0.04728514803357237,0.32653061224489793,0.3177842565597668
lapchole,classes,122,28,0.7285714285714285,0.6428571428571429,-0.08571428571428563,-0.15178571428571427,-0.02141369047619069,0.7213114754098361,0.6229508196721312
lapchole,target:Clip,285,28,0.33370956774318117,0.2608097493076485,-0.07289981843553267,-0.13232429277072133,-0.013617582814011401,0.3087719298245614,0.25263157894736843
lapchole,target:Sponge,12,9,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0,0.8333333333333334,0.8333333333333334
lapchole,target:Specimen,5,4,1.0,0.75,-0.25,-0.75,0.0,1.0,0.8
lapchole,target:Specimen Bag,1,1,1.0,1.0,0.0,0.0,0.0,1.0,1.0
